SampleID	AMP23-06	AMP23-19	AMP23-22	AMP23-23	AMP23-27	AMP23-28	AMP23-29	AMP23-30	AMP23-34	AMP23-50	AMP23-58	AMP23-60	AMP23-91	AMP23-10	AMP23-13	AMP23-42	AMP23-43	AMP23-45	AMP23-46	AMP23-78	AMP23-81	AMP23-84	AMP23-93	AMP23-94	AMP23-05	AMP23-26	AMP23-92	AMP23-01	AMP23-02	AMP23-03	AMP23-04	AMP23-07	AMP23-08	AMP23-09	AMP23-12	AMP23-14	AMP23-15	AMP23-16	AMP23-17	AMP23-20	AMP23-21	AMP23-31	AMP23-35	AMP23-36	AMP23-39	AMP23-40	AMP23-41	AMP23-44	AMP23-49	AMP23-51	AMP23-52	AMP23-53	AMP23-54	AMP23-55	AMP23-61	AMP23-67	AMP23-69	AMP23-72	AMP23-74	AMP23-75	AMP23-77	AMP23-79	AMP23-83	AMP23-89	AMP23-90
AMP23-06	0	0.222762272	0.237685457	0.172387809	0.186816648	0.392494977	0.272305846	0.164389297	0.211767927	0.266460389	0.121779725	0.331075013	0.237553388	0.211482435	0.11650268	0.342850149	0.348368078	0.214219436	0.231962621	0.151005924	0.301962465	0.567690372	0.190722853	0.538805544	0.076847628	0.354710162	0.209478423	0.209596097	0.343017578	0.175776184	0.230994716	0.269622862	0.229875356	0.131765202	0.166507885	0.199856982	0.234006226	0.237664729	0.238889992	0.15205048	0.470344037	0.142758399	0.377230883	0.370668739	0.573313773	0.325539142	0.211827606	0.622612596	0.230203718	0.24678129	0.204885364	0.271121621	0.562792957	0.218791634	0.303528368	0.172334626	0.105700709	0.253531098	0.202637225	0.129464358	0.563525677	0.155352905	0.125358537	0.288776129	0.530052423
AMP23-19	0.222762272	0	0.084431544	0.306789428	0.172362715	0.184844464	0.120481133	0.147140577	0.144162849	0.187030435	0.211698368	0.142809018	0.254447222	0.161351562	0.135616854	0.209761456	0.297748804	0.08193358	0.279205322	0.178327635	0.250981688	0.355803639	0.150807351	0.327952683	0.221293181	0.212895155	0.195702836	0.279947132	0.176365972	0.217834398	0.132824644	0.145542488	0.115720108	0.133242965	0.199136332	0.157838076	0.103262268	0.039040927	0.185937405	0.182468504	0.26213026	0.158976898	0.204238921	0.155071318	0.35530594	0.107337818	0.160285756	0.406136543	0.196603492	0.153555557	0.161545426	0.070590772	0.351356	0.25702396	0.229660824	0.181675225	0.266648769	0.238615066	0.21543467	0.227331877	0.351917475	0.153199345	0.191303343	0.095437452	0.319575518
AMP23-22	0.237685457	0.084431544	0	0.28773272	0.215780944	0.17254068	0.172878847	0.194803417	0.184701711	0.235302329	0.240610093	0.191082612	0.29057157	0.206296131	0.170663968	0.258687764	0.341789693	0.138084501	0.31469807	0.21782428	0.287753046	0.371855289	0.197386667	0.345915377	0.243059099	0.261652172	0.233607262	0.321149886	0.22640574	0.254713625	0.185482547	0.193018645	0.169415921	0.171907842	0.241250589	0.205125228	0.163749129	0.072230056	0.232279509	0.227788031	0.284217954	0.189732581	0.256605208	0.147378713	0.357342839	0.117362052	0.212054476	0.415367842	0.24192138	0.201393008	0.209320202	0.063147202	0.360814512	0.292556554	0.27524063	0.230724037	0.28900364	0.277153313	0.25439167	0.250537634	0.363375366	0.195694461	0.226670474	0.110186711	0.335259616
AMP23-23	0.172387809	0.306789428	0.28773272	0	0.32934016	0.407853186	0.382742196	0.285399973	0.323833197	0.393777281	0.257794678	0.434019685	0.379665613	0.350625187	0.258036077	0.467226505	0.487332612	0.329939753	0.383787572	0.285147935	0.442078769	0.63970077	0.319829911	0.611782789	0.230656683	0.474775583	0.349991232	0.349608064	0.451638728	0.330187231	0.364438355	0.393144339	0.354269028	0.274265856	0.320047647	0.34032324	0.354650438	0.29618147	0.374019057	0.293189049	0.546858191	0.236099452	0.489891946	0.41415906	0.625233948	0.38750422	0.336160928	0.683159471	0.366474658	0.376753122	0.340782851	0.33074066	0.628106713	0.352336735	0.438698947	0.300666928	0.242139623	0.390597343	0.347913533	0.196657732	0.629888117	0.289564699	0.263003469	0.367557973	0.604638219
AMP23-27	0.186816648	0.172362715	0.215780944	0.32934016	0	0.31973049	0.14325352	0.099398077	0.08327435	0.114937298	0.116644703	0.185866654	0.115297332	0.069039993	0.102771677	0.181386426	0.201864555	0.11597009	0.134783164	0.079161979	0.147965804	0.431244254	0.06855768	0.403567791	0.139672741	0.193741351	0.061342128	0.183173001	0.209559873	0.141786098	0.116706133	0.121434733	0.108390033	0.09345755	0.0823109	0.061825957	0.123561732	0.193781435	0.084355608	0.07743714	0.342415482	0.161116391	0.223986402	0.282940686	0.458192736	0.230681822	0.07763914	0.495765746	0.072548904	0.096058689	0.067303509	0.209259629	0.433721423	0.116236009	0.151442781	0.081666589	0.181017131	0.106927238	0.073228531	0.191023275	0.43136847	0.05822799	0.107237011	0.186035246	0.392681688
AMP23-28	0.392494977	0.184844464	0.17254068	0.407853186	0.31973049	0	0.207212955	0.312516034	0.262182415	0.311951786	0.382733494	0.218922496	0.395812303	0.302519858	0.314172685	0.302131861	0.418892503	0.231597111	0.427998096	0.349089265	0.379787266	0.274501801	0.310298562	0.262501121	0.396500051	0.298359007	0.340466946	0.458379865	0.239649728	0.393983006	0.278389782	0.265950352	0.258758277	0.31096831	0.375543058	0.312996149	0.238145128	0.16634798	0.321690053	0.354271412	0.226051271	0.31273219	0.269028485	0.05938961	0.236278594	0.107360154	0.301880926	0.296626449	0.335507959	0.286563933	0.310193181	0.146141782	0.249485821	0.396320075	0.356295675	0.352649808	0.440072805	0.376537859	0.367608011	0.385775328	0.259788156	0.323411644	0.363930792	0.160531119	0.242400303
AMP23-29	0.272305846	0.120481133	0.172878847	0.382742196	0.14325352	0.207212955	0	0.152406201	0.104995847	0.140380681	0.226374507	0.108112864	0.23491852	0.141609684	0.169768766	0.155571669	0.2484207	0.094979845	0.265338212	0.18738994	0.225979045	0.316432238	0.141696051	0.306658298	0.249151438	0.147022888	0.173091695	0.293210864	0.176184997	0.240256056	0.14878048	0.117091	0.107765093	0.161949888	0.209377468	0.145435154	0.0935551	0.143983006	0.151466861	0.189073458	0.261562765	0.189778939	0.156450808	0.173600852	0.335714877	0.128267184	0.123346359	0.371812075	0.154621571	0.125257179	0.134413928	0.149503261	0.315542608	0.232834965	0.192968786	0.189273074	0.293504894	0.212125495	0.196533844	0.265535474	0.320702165	0.159786761	0.207347751	0.112724684	0.270037085
AMP23-30	0.164389297	0.147140577	0.194803417	0.285399973	0.099398077	0.312516034	0.152406201	0	0.087452166	0.142562389	0.099715345	0.213242069	0.176590234	0.12503545	0.075307988	0.21532464	0.244513378	0.113676243	0.200064987	0.0722479	0.210913524	0.458115309	0.064553037	0.429964513	0.125276536	0.224504635	0.121504873	0.168080494	0.246903971	0.147990555	0.152554929	0.157846361	0.131758884	0.075343706	0.09579844	0.107632823	0.136778638	0.17008473	0.124107122	0.072814859	0.364507586	0.074554957	0.254515171	0.286410838	0.475734174	0.230544224	0.081767745	0.518355072	0.119380526	0.134509668	0.101917699	0.199981809	0.454885066	0.171785176	0.195180103	0.059188545	0.149062261	0.159791961	0.126635	0.130356103	0.455398649	0.060926568	0.073088646	0.199939117	0.416438073
AMP23-34	0.211767927	0.144162849	0.184701711	0.323833197	0.08327435	0.262182415	0.104995847	0.087452166	0	0.113325737	0.145064414	0.151503935	0.159512311	0.095342457	0.112942576	0.170523375	0.226577699	0.094209842	0.1894328	0.108305015	0.184063643	0.393731385	0.075959764	0.367167056	0.176447615	0.178114161	0.09557952	0.236375973	0.193353891	0.196507007	0.142810106	0.115205891	0.092555963	0.114366636	0.144305527	0.100687884	0.114941642	0.165388301	0.097817615	0.114709906	0.303794652	0.129929572	0.196583077	0.233627528	0.408115596	0.186025739	0.084327966	0.452322453	0.098161116	0.103102833	0.087418534	0.174735129	0.389579207	0.151248753	0.174945354	0.115411401	0.217567623	0.139219597	0.116944492	0.196647435	0.390619636	0.091834627	0.13329871	0.13892971	0.350857139
AMP23-50	0.266460389	0.187030435	0.235302329	0.393777281	0.114937298	0.311951786	0.140380681	0.142562389	0.113325737	0	0.185496509	0.145139456	0.115237929	0.088309184	0.16764304	0.100554034	0.145668343	0.125559747	0.146763831	0.147452071	0.11575672	0.382237405	0.110114567	0.356337219	0.216130733	0.108228862	0.092823431	0.226580709	0.173378423	0.188723996	0.135209754	0.07401184	0.09493228	0.156529561	0.149844795	0.100368507	0.124200813	0.209628791	0.055096738	0.140844017	0.303083688	0.188195288	0.153968692	0.277125657	0.414573431	0.224105999	0.087621436	0.44713074	0.073147707	0.046294238	0.079964019	0.21636492	0.385968655	0.116100267	0.084794544	0.139905557	0.244290739	0.088431053	0.109249234	0.247041136	0.384701043	0.13951388	0.170761019	0.179152325	0.343452632
