"Comparison","Taxa","mean.group1.","variance.group1.","std.err.group1.","mean.group2.","variance.group2.","std.err.group2.","pvalue","qvalue","Significance","Group"
"non-infecte - acanthocephale","k__Bacteria|p__Acidobacteriota|c__Subgroup_21|o__Subgroup_21|f__Subgroup_21",0,0,0,4.76259647234479e-06,2.94870227059084e-10,4.76259647234479e-06,0.00034569849978089,0.00477568485970388,"**","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Desulfitobacteriia|o__Desulfitobacteriales|f__Desulfitobacteriaceae",0,0,0,4.76259647234479e-06,2.94870227059084e-10,4.76259647234479e-06,0.00034569849978089,0.00477568485970388,"**","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__MSBL9|f__SG8-4",0,0,0,4.76259647234479e-06,2.94870227059084e-10,4.76259647234479e-06,0.00034569849978089,0.00477568485970388,"**","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae",0.0238635192953901,0.000984256896409659,0.0050893513608257,0.00588569785935309,5.16976644480312e-05,0.00199417737904112,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae",0.00235054664530353,8.56567149626642e-06,0.00047477616599455,0.000332982346564872,4.48000994401055e-07,0.000185638398382251,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Catellicoccaceae",0.000602640567577193,4.29118836341871e-06,0.000336044654121517,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__EPR3968-O8a-Bc78|f__EPR3968-O8a-Bc78",0.000132017793928771,1.52679229322369e-07,6.33867056712353e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Pedosphaeraceae",9.92908431896475e-05,1.31236419990007e-07,5.87672527836468e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__UBA10353_marine_group|f__UBA10353_marine_group",0.000419450812009177,3.04788711977533e-06,0.000283209385055583,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae",0.000143517390913384,7.82695176794233e-07,0.000143517390913384,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__37-13",1.5645399957644e-05,9.30158451371664e-09,1.5645399957644e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae",0.000129887467549267,1.80063123817938e-07,6.88367871008431e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__SAR202_clade|f__SAR202_clade",1.2017481126886e-05,5.48795440013233e-09,1.2017481126886e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__SJA-28",0.000155900108124903,4.58620779353608e-07,0.000109858854343774,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Fodinicurvataceae",9.79538084304671e-06,3.6460804626924e-09,9.79538084304671e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__KF-JG30-C25|f__KF-JG30-C25",9.75003185766223e-06,3.61239860656628e-09,9.75003185766223e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Chlamydiae|o__Chlamydiales|f__Criblamydiaceae",3.02516770365911e-05,1.0157076299801e-08,1.63490513967542e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Babeliaceae",0.00015415789860364,1.79696724962432e-07,6.87667156640616e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae",2.923335523744e-05,8.96527884188287e-09,1.53599606306743e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__NRL2|f__NRL2",6.62095186613342e-06,1.66580613731892e-09,6.62095186613342e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales|f__Acidithiobacillaceae",6.53025389536447e-06,1.62048020564107e-09,6.53025389536447e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__CCM19a|f__CCM19a",6.25815998305762e-06,1.48825352219466e-09,6.25815998305762e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Planctomycetota|c__028H05-P-BN-P5|o__028H05-P-BN-P5|f__028H05-P-BN-P5",5.85001911459734e-06,1.30046349836386e-09,5.85001911459734e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__AT-s3-44|f__AT-s3-44",5.80467012921286e-06,1.28037942174109e-09,5.80467012921286e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__AKYH767",4.9883883922923e-06,9.45592712589551e-10,4.9883883922923e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae",4.89769042152335e-06,9.11520115673101e-10,4.89769042152335e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Dadabacteria|c__Dadabacteriia|o__Dadabacteriales|f__Dadabacteriales",4.76164346536993e-06,8.61583442669405e-10,4.76164346536993e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Gemmatimonadota|c__S0134_terrestrial_group|o__S0134_terrestrial_group|f__S0134_terrestrial_group",4.58024752383203e-06,7.97189360423637e-10,4.58024752383203e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Omnitrophia|o__Omnitrophales|f__Omnitrophales",4.48954955306307e-06,7.65930097197536e-10,4.48954955306307e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae",4.4442005676786e-06,7.50534910058682e-10,4.4442005676786e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
